Group/Artist,Song,Score,Comment,YT Link,Due November 1st
Kara,Wanna,3,,https://www.youtube.com/watch?v=24_nW2HILtk,
Kara,Mister,10,well this is kinda of a classic ,https://www.youtube.com/watch?v=9VbGuZryssA,
Kara,Lupin,10,,https://www.youtube.com/watch?v=j7TYiyEhxdI,
Kara,Jumping,7,a little too repetative for me but it’s a cool song ,https://www.youtube.com/watch?v=SweXhOQPMdM,
Kara,Step,10,their best song ,https://www.youtube.com/watch?v=zYoYoBtLqOY,
Kara,Pandora,9,,https://www.youtube.com/watch?v=g0XpNvLWimo,
Kara,Damaged Lady,9,,https://www.youtube.com/watch?v=_vHw17-zFa4,
Kara,Mamma Mia!,9,party party party mamma mia ,https://www.youtube.com/watch?v=AEAdE9wSqwg,
Kara,Cupid,6,yeehaw ,https://www.youtube.com/watch?v=74RzHIpZuDY,
Kara,Overall,7,early kara not my thing ,,
Miss A,Bad Girl Good Girl,10,,https://www.youtube.com/watch?v=8TeeJvcBdLA,
Miss A,Breathe,1,even as a meme its not good ,https://www.youtube.com/watch?v=wTnwjlDhAY4,
Miss A,Love Alone,6,,https://www.youtube.com/watch?v=dBR0oEUIoGI,
Miss A,Goodbye Baby,8,,https://www.youtube.com/watch?v=EYKO1za5mX0,
Miss A,Touch,4,boring without visuals ,https://www.youtube.com/watch?v=aF8Fst_zonU,
Miss A,I Don't Need A Man,5,,https://www.youtube.com/watch?v=EkSOOiMDGiY,
Miss A,Hush,9,,https://www.youtube.com/watch?v=dp0F18FFCTE,
Miss A,Only You,8,what is this mv. ,https://www.youtube.com/watch?v=zO9RzrhYR-I,
Miss A,Overall,6,they could have been great. A few misses but overall they got some classic songs ,,
Sistar,Push Push,5,,https://www.youtube.com/watch?v=75y5iN7z-08,
Sistar,Shady Girl,6,,https://www.youtube.com/watch?v=7VpLniRbPI8,
Sistar,How Dare You,2,lol ,https://www.youtube.com/watch?v=DQ1hvB_L30o,
Sistar,So Cool,7,,https://www.youtube.com/watch?v=Pj3q0ZChgFE,
Sistar,Alone,10,,https://www.youtube.com/watch?v=E0ZHXVp_wUE,
Sistar,Loving U,9,,https://www.youtube.com/watch?v=oL2AlXWVbKU,
Sistar,Give It To Me,10,,https://www.youtube.com/watch?v=p6XLNsJ9YrA,
Sistar,Touch My Body,10,,https://www.youtube.com/watch?v=9txzvu6eQuw,
Sistar,I Swear,9,,https://www.youtube.com/watch?v=ktEEjk3Xy3s,
Sistar,Shake It,10,,https://www.youtube.com/watch?v=x9-TIy7WPQI,
Sistar,I Like That,10,,https://www.youtube.com/watch?v=LJVUjmNMF8c,
Sistar,Lonely,9,sad! Bring them back!!!!,https://www.youtube.com/watch?v=KbXV2R_Yd1E,
Sistar,Overall,8,can they get back together please ,,
SNSD,Into The New World,3,this song is highly praised but I just don’t see how its that good. Its sounds outdated and the singing at times is cringe ,https://www.youtube.com/watch?v=0k2Zzkw_-0I,
SNSD,Girls' Generation,5,,https://www.youtube.com/watch?v=IbLh4i40I4E,
SNSD,Kissing You,6,,https://www.youtube.com/watch?v=r3yxxe66LXs,
SNSD,Baby Baby,2,zzzzzzzzz,https://www.youtube.com/watch?v=J0OGl8WzpXM,
SNSD,Gee,3,,https://www.youtube.com/watch?v=U7mPqycQ0tQ,
SNSD,Way To Go,6,,https://www.youtube.com/watch?v=_0Ke2fThnG0,
SNSD,Genie,10,,https://www.youtube.com/watch?v=6SwiSpudKWI,
SNSD,Oh!,2,cringe,https://www.youtube.com/watch?v=TGbwL8kSpEk,
SNSD,Run Devil Run,10,,https://www.youtube.com/watch?v=q_gfD3nvh-8,
SNSD,Hoot,6,,https://www.youtube.com/watch?v=F4-SxcCO5d0,
SNSD,The Boys,5,,https://www.youtube.com/watch?v=6pA_Tou-DPI,
SNSD,Mr. Taxi,6,,https://www.youtube.com/watch?v=-QDgMh_9Dy0,
SNSD,Dancing Queen,5,,https://www.youtube.com/watch?v=EXZxc8GSXnI,
SNSD,I Got A Boy,2,all kinds of random in one song ,https://www.youtube.com/watch?v=wq7ftOZBy0E,
