Group/Artist,Song,Score,Comment,YT Link,Due November 1st
Miss A,Bad Girl Good Girl,8,,https://www.youtube.com/watch?v=8TeeJvcBdLA,
Miss A,Breathe,6,,https://www.youtube.com/watch?v=wTnwjlDhAY4,
Miss A,Love Alone,8,,https://www.youtube.com/watch?v=dBR0oEUIoGI,
Miss A,Goodbye Baby,7,,https://www.youtube.com/watch?v=EYKO1za5mX0,
Miss A,Touch,9,,https://www.youtube.com/watch?v=aF8Fst_zonU,
Miss A,I Don't Need A Man,9,,https://www.youtube.com/watch?v=EkSOOiMDGiY,
Miss A,Hush,10,,https://www.youtube.com/watch?v=dp0F18FFCTE,
Miss A,Only You,9,,https://www.youtube.com/watch?v=zO9RzrhYR-I,
Miss A,Overall,8,"like them a lot more now , they got some bops",,
Sistar,Push Push,4,,https://www.youtube.com/watch?v=75y5iN7z-08,
Sistar,Shady Girl,6,,https://www.youtube.com/watch?v=7VpLniRbPI8,
Sistar,How Dare You,4,,https://www.youtube.com/watch?v=DQ1hvB_L30o,
Sistar,So Cool,8,,https://www.youtube.com/watch?v=Pj3q0ZChgFE,
Sistar,Alone,9,,https://www.youtube.com/watch?v=E0ZHXVp_wUE,
Sistar,Loving U,10,,https://www.youtube.com/watch?v=oL2AlXWVbKU,
Sistar,Give It To Me,10,,https://www.youtube.com/watch?v=p6XLNsJ9YrA,
Sistar,Touch My Body,10,,https://www.youtube.com/watch?v=9txzvu6eQuw,
Sistar,I Swear,9,,https://www.youtube.com/watch?v=ktEEjk3Xy3s,
Sistar,Shake It,10,,https://www.youtube.com/watch?v=x9-TIy7WPQI,
Sistar,I Like That,10,,https://www.youtube.com/watch?v=LJVUjmNMF8c,
Sistar,Lonely,6,,https://www.youtube.com/watch?v=KbXV2R_Yd1E,
Sistar,Overall,8,summer legends,,
SNSD,Into The New World,10,,https://www.youtube.com/watch?v=0k2Zzkw_-0I,
SNSD,Girls' Generation,9,,https://www.youtube.com/watch?v=IbLh4i40I4E,
SNSD,Kissing You,8,,https://www.youtube.com/watch?v=r3yxxe66LXs,
SNSD,Baby Baby,6,,https://www.youtube.com/watch?v=J0OGl8WzpXM,
SNSD,Gee,8,,https://www.youtube.com/watch?v=U7mPqycQ0tQ,
SNSD,Way To Go,10,,https://www.youtube.com/watch?v=_0Ke2fThnG0,
SNSD,Genie,10,,https://www.youtube.com/watch?v=6SwiSpudKWI,
SNSD,Oh!,4,,https://www.youtube.com/watch?v=TGbwL8kSpEk,
SNSD,Run Devil Run,7,,https://www.youtube.com/watch?v=q_gfD3nvh-8,
SNSD,Hoot,7,,https://www.youtube.com/watch?v=F4-SxcCO5d0,
