Group/Artist,Song,Score,Comment,YT Link,Due March 17th
Day6,When You Love Someone,10,"I love the harmonies and adlibs in this song, chorus has a groove to it that is unexpected with this kind of slow ballad-like song. ",https://www.youtube.com/watch?v=qWQ1xOfUNYQ&ab_channel=JYPEntertainment,
Day6,All Alone,10,"This song is a vocal flex. Lovely acoustic instrumentals, and great vocals",https://www.youtube.com/watch?v=Fd-elEnkInw&ab_channel=JYPEntertainment,
Day6,I Like You,9,"Great band ballad, does get a little repetitive, but the vocals carry it through. Brian and Bob kill it on the chorus. ",https://www.youtube.com/watch?v=daoMYJv8i0c&ab_channel=JYPEntertainment,
Day6,Shoot Me,10,"Big banger. Wonpil kills it in this song, great keyboard work + that bridge. Message of the song is also nice. ",https://www.youtube.com/watch?v=g2X2LdJAIpU&ab_channel=JYPEntertainment,
Day6,Beautiful Feeling,10,"Soft ballad with great vocal showcases, great song for the fans. Bridge gives me chills.",https://www.youtube.com/watch?v=ltBiIr_QXac&ab_channel=JYPEntertainment,
Day6,Days Gone By,10,"The first Day6 song I heard. I heard it in a KVille new song playlist back in late 2018 when I was getting into Kpop. One of the more interesting songs I heard at the time, with strong 80s theme in the song and the MV. It was my best decision to dive into more of their music!",https://www.youtube.com/watch?v=1nk5O__ALI8&ab_channel=JYPEntertainment,
Day6,Time of Our Life,10,This is the perfect concert song. Full of energy and great to single along to. Happy Day6 is so much fun. ,https://www.youtube.com/watch?v=vnS_jn2uibs&ab_channel=JYPEntertainment,
Day6,Sweet Chaos,10,This was a great follow up to Time of Our Life and another great concert song. I love the jazzy trill piano in the chorus. I also love the colour fade in effects in the MV. ,https://www.youtube.com/watch?v=CWUGikRxGQs&ab_channel=JYPEntertainment,
Day6,Zombie,10,The Lockdown song. Sad that this was their last song before a year long hiatus. But it is so good. ,https://www.youtube.com/watch?v=k8gx-C7GCGU&ab_channel=JYPEntertainment,
Day6,Overall,10,"This should be surprising no one. Day6 are my favourite group when it comes to music alone. I genuinely have dozens of plays for every one of these songs, some of them over 100. They are close to being my most listened to group. It's sad that it looks like things are stopping for the group, with enlistments coming up, and one of my biggest regrest will be not making it to see them in Jan 2020 as it looks like I'll never be able to see them live now. RIP. However, we still have a 5 member comeback in April coming up that I am really looking forward to, so hoping to go out with a bang!",,
N.Flying,Awesome,7,"I like the piano a lot here, but I'm not a fan of these rap focused band songs. ",https://www.youtube.com/watch?v=I4yiOSuk930&ab_channel=N.Flying%28%EC%97%94%ED%94%8C%EB%9D%BC%EC%9E%89%29,
N.Flying,Lonely,6,"Ok ballad band song, but I'm not a fan of the rapping here.  ",https://www.youtube.com/watch?v=VFioNvNNs5Y&ab_channel=StoneMusicEntertainment,
N.Flying,The Real,10,I love this. The quirky MV also really goes with the song. Chorus goes hard. ,https://www.youtube.com/watch?v=WUYzVohEAyE&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
N.Flying,Hot Potato,10,"This is a banger, the rap parts work here. Hweseung kills it on the chorus",https://www.youtube.com/watch?v=y1iRckD1ys4&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
N.Flying,How R U Today,6,"Vocals are nice, but I'm not a fan of the rap. Rest of the song is pretty average",https://www.youtube.com/watch?v=n5t0wpWJzkw&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
N.Flying,Like a Flower,8,"Nice vocals in this, but the rest of the song isn't very interesting",https://www.youtube.com/watch?v=B6fTdRyaRO0&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
N.Flying,Rooftop,10,"I'm glad this is the one that blew up for them, it's a bop and has a great chorus. ",https://www.youtube.com/watch?v=VpaUh_BGqE0&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
N.Flying,Spring Memories,10,One of my favourite N flying songs. The build up to the chorus resolves well and the song is elevated with Hweseung's vocals. The bridge is sooo good. ,https://www.youtube.com/watch?v=MK0mQUIktWU&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
N.Flying,Good Bam,6,"Hweseung carries the vocals, but the raps really take me out of this song. ",https://www.youtube.com/watch?v=_2XBCywb8ng&ab_channel=FNCEnt,
N.Flying,Oh really.,8,I like the chorus melody and Hweseung can carry most songs with his voice. Great summer song. ,https://www.youtube.com/watch?v=kT3Swso1is0&ab_channel=FNCEnt,
N.Flying,Starlight,9,"Sad MV, would probs work well as an OST if they weren't all about ballads. ",https://www.youtube.com/watch?v=k2bjShbdb4U&ab_channel=FNCEnt,
N.Flying,Overall,9,NGL Hweseung hard carries this group. I love his voice and he adds so much to their sound. ,,
