Group/Artist,Song,Score,Comment,YT Link,Due March 17th
FT. Island,To The Light,7,"Japanese MV linked instead. Ok song, nothing too memorable",https://www.youtube.com/watch?v=hOxAz9NaEEQ&ab_channel=WarnerMusicJapan,
FT. Island,Pray,8,This is much harder than a lot of their other stuff. ,https://www.youtube.com/watch?v=_1ZUFyS3-e8&ab_channel=FTISLAND%28FT%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%29,
FT. Island,Take Me Now,9,"Harder rock song from them, this is a banger. ",https://www.youtube.com/watch?v=WsC0jG1M5jA&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
FT. Island,Lovesick 2,9,She's great. Both of them are vocal powerhouses that work really well on this song. ,https://www.youtube.com/watch?v=aSyXgv_v3no&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
FT. Island,Wind,10,"Easily their best song. The first FT island song I heard, and still my favourite. Hongki pops off here. ",https://www.youtube.com/watch?v=QhPOwcvhGSA&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
FT. Island,Midsummer Night's Dream,8,"Nice bop, has all the Ft island tropes, but does them well. ",https://www.youtube.com/watch?v=Gzr-bPNQfL0&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
FT. Island,Quit,8,"If this is their last song, what a fitting name lmao. Though, song is decent, nice build to the chorus and has a nice power ballad feel to the chorus (like 99% of all their songs, but still)",https://www.youtube.com/watch?v=DZ0w6iP4I8I&ab_channel=FNCEnt,
FT. Island,Overall,7,"Wow I can start to understand the hate some people have for this group. They've released the same song over a dozen times. Sometimes they hit well though, plus Hongki is great. ",,
Trax,Paradox,3,Drummer's hair is fun. ,https://www.youtube.com/watch?v=IqnscuWhDic&ab_channel=SMTOWN,
Trax,Scorpio,4,Wasn't expecting this. Not a big fan of this kind of scream rock,https://www.youtube.com/watch?v=c0fYzOr89TM&ab_channel=SMTOWN,
Trax,Cold Rain,5,"Pretty boring, I couldn't tell you how it goes and I just listened to it. ",https://www.youtube.com/watch?v=t82dOSf6SYM&ab_channel=lefty,
Trax,Let You Go,7,"My ballad bias doesn't do enough to give this a higher score than this, but it's still somewhat enjoyable for me. Bridge guitar + vocals pretty good. ",https://www.youtube.com/watch?v=Gyi4Z_9VOe4&ab_channel=SMTOWN,
Trax,Oh! My Goddess,7,Seohyun looks like she is being held against her will. Them constantly switching styles doesn't help lol,https://www.youtube.com/watch?v=RXk9Th9gsjM&ab_channel=SMTOWN,
Trax,Blind,7,SM Family appearances. Otherwise band ballad. ,https://www.youtube.com/watch?v=nVkoHTRGoco&ab_channel=SMTOWN,
Trax,Road,9,I really like the progression into the chorus. Chorus would be a great anime ending. ,https://www.youtube.com/watch?v=IK-rZCbcUdA&ab_channel=SMTOWN,
Trax,Notorious,3,Generic EDM drop build up trash. Feat. only decent part of the song. ,https://www.youtube.com/watch?v=gh_b4JX6aGw&ab_channel=SMTOWN,
Trax,Escape,3,"That EDM build drop chorus is hilariously dumb. There are some nice SM vocal parts beyond that, so it isn't complete garbage",https://www.youtube.com/watch?v=yns5LTJEpvw&ab_channel=SMTOWN,
Trax,Overall,5,"What a trip listening to this group was. So many concept changes, so many cameos from Heechul and VIctoria. Road is really nice, will definitely be listening to it more. ",,
