Song,Average,Total,Controversy,Jade,Lynne,Paige,Egg,claudia,Barron,Dubi,Marlon,Sam,Sammi,aidan,Cooper,Joccarri,Eye Smile,FlixerDK,Fleur,Nate,Aubrey,,,,
sammi,8.285714286,,,,,,,,,,,,,,,,,,,,,,,,
Nate,7.857142857,,,,,,,,,,,,,,,,,,,,,,,,
Lynne,7.761904762,,,,,,,,,,,,,,,,,,,,,,,,
Aubrey,7.047619048,,,,,,,,,,,,,,,,,,,,,,,,
Jade,6.857142857,,,,,,,,,,,,,,,,,,,,,,,,
FlixerDK,6.333333333,,,,,,,,,,,,,,,,,,,,,,,,
Fleur,6.095238095,,,,,,,,,,,,,,,,,,,,,,,,
Cooper,5.904761905,,,,,,,,,,,,,,,,,,,,,,,,
Eye Smile,5.904761905,,,,,,,,,,,,,,,,,,,,,,,,
claudia,5.80952381,,,,,,,,,,,,,,,,,,,,,,,,
Egg,5.80952381,,,,,,,,,,,,,,,,,,,,,,,,
Dubi,5.714285714,,,,,,,,,,,,,,,,,,,,,,,,
Sam,5.714285714,,,,,,,,,,,,,,,,,,,,,,,,
Joccarri,5.619047619,,,,,,,,,,,,,,,,,,,,,,,,
Marlon,5,,,,,,,,,,,,,,,,,,,,,,,,
Paige,4.761904762,,,,,,,,,,,,,,,,,,,,,,,,
Barron,4.380952381,,,,,,,,,,,,,,,,,,,,,,,,
aidan,2.571428571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bang,VIP,,,,,,,,,,,,,,,,,,,,,,,,
Lynne,9.227272727,,,,,,,,,,,,,,,,,,,,,,,,
Nate,8.090909091,,,,,,,,,,,,,,,,,,,,,,,,
Sam,8.045454545,,,,,,,,,,,,,,,,,,,,,,,,
sammi,7.863636364,,,,,,,,,,,,,,,,,,,,,,,,
Cooper,7.681818182,,,,,,,,,,,,,,,,,,,,,,,,
Jade,7.636363636,,,,,,,,,,,,,,,,,,,,,,,,
FlixerDK,7.318181818,,,,,,,,,,,,,,,,,,,,,,,,
Dubi,7.136363636,,,,,,,,,,,,,,,,,,,,,,,,
Aubrey,6.772727273,,,,,,,,,,,,,,,,,,,,,,,,
claudia,6.545454545,,,,,,,,,,,,,,,,,,,,,,,,
Joccarri,6.454545455,,,,,,,,,,,,,,,,,,,,,,,,
aidan,6.409090909,,,,,,,,,,,,,,,,,,,,,,,,
Fleur,6.227272727,,,,,,,,,,,,,,,,,,,,,,,,
Eye Smile,6.181818182,,,,,,,,,,,,,,,,,,,,,,,,
Marlon,6.090909091,,,,,,,,,,,,,,,,,,,,,,,,
Paige,4.954545455,,,,,,,,,,,,,,,,,,,,,,,,
Egg,4.090909091,,,,,,,,,,,,,,,,,,,,,,,,
Barron,3.181818182,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SHINee,Shawol,,,,,,,,,,,,,,,,,,,,,,,,
Nate,9.736842105,,,,,,,,,,,,,,,,,,,,,,,,
sammi,9.578947368,,,,,,,,,,,,,,,,,,,,,,,,
Lynne,9.421052632,,,,,,,,,,,,,,,,,,,,,,,,
Sam,8.789473684,,,,,,,,,,,,,,,,,,,,,,,,
claudia,8.736842105,,,,,,,,,,,,,,,,,,,,,,,,
Paige,8.736842105,,,,,,,,,,,,,,,,,,,,,,,,
Cooper,8.473684211,,,,,,,,,,,,,,,,,,,,,,,,
FlixerDK,8.421052632,,,,,,,,,,,,,,,,,,,,,,,,
Aubrey,8.105263158,,,,,,,,,,,,,,,,,,,,,,,,
Egg,7.894736842,,,,,,,,,,,,,,,,,,,,,,,,
Jade,7.894736842,,,,,,,,,,,,,,,,,,,,,,,,
Joccarri,7.421052632,,,,,,,,,,,,,,,,,,,,,,,,
Dubi,7.315789474,,,,,,,,,,,,,,,,,,,,,,,,
Marlon,7.052631579,,,,,,,,,,,,,,,,,,,,,,,,
Eye Smile,7,,,,,,,,,,,,,,,,,,,,,,,,
aidan,6.894736842,,,,,,,,,,,,,,,,,,,,,,,,
Fleur,6.421052632,,,,,,,,,,,,,,,,,,,,,,,,
Barron,6.052631579,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2PM ,Hottest,,,,,,,,,,,,,,,,,,,,,,,,
Lynne,8.272727273,,,,,,,,,,,,,,,,,,,,,,,,
Nate,8,,,,,,,,,,,,,,,,,,,,,,,,
sammi,7.545454545,,,,,,,,,,,,,,,,,,,,,,,,
FlixerDK,7.363636364,,,,,,,,,,,,,,,,,,,,,,,,
Dubi,6.545454545,,,,,,,,,,,,,,,,,,,,,,,,
Fleur,6.454545455,,,,,,,,,,,,,,,,,,,,,,,,
Jade,6.363636364,,,,,,,,,,,,,,,,,,,,,,,,
Aubrey,6.181818182,,,,,,,,,,,,,,,,,,,,,,,,
Joccarri,6.090909091,,,,,,,,,,,,,,,,,,,,,,,,
aidan,5.909090909,,,,,,,,,,,,,,,,,,,,,,,,
Eye Smile,5.636363636,,,,,,,,,,,,,,,,,,,,,,,,
Marlon,5.545454545,,,,,,,,,,,,,,,,,,,,,,,,
claudia,5.181818182,,,,,,,,,,,,,,,,,,,,,,,,
Cooper,5.181818182,,,,,,,,,,,,,,,,,,,,,,,,
Egg,4.909090909,,,,,,,,,,,,,,,,,,,,,,,,
Paige,4.909090909,,,,,,,,,,,,,,,,,,,,,,,,
Sam,4.909090909,,,,,,,,,,,,,,,,,,,,,,,,
Barron,2.909090909,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Beast/Highlight,Beauty/Light,,,,,,,,,,,,,,,,,,,,,,,,
claudia,8.125,,,,,,,,,,,,,,,,,,,,,,,,
sammi,7.875,,,,,,,,,,,,,,,,,,,,,,,,
Nate,7.6875,,,,,,,,,,,,,,,,,,,,,,,,
Lynne,7.5,,,,,,,,,,,,,,,,,,,,,,,,
Jade,7.3125,,,,,,,,,,,,,,,,,,,,,,,,
Cooper,7.3125,,,,,,,,,,,,,,,,,,,,,,,,
Paige,6.5625,,,,,,,,,,,,,,,,,,,,,,,,
FlixerDK,6.5,,,,,,,,,,,,,,,,,,,,,,,,
Aubrey,6.25,,,,,,,,,,,,,,,,,,,,,,,,
Sam,6.25,,,,,,,,,,,,,,,,,,,,,,,,
Marlon,6,,,,,,,,,,,,,,,,,,,,,,,,
Dubi,5.9375,,,,,,,,,,,,,,,,,,,,,,,,
Fleur,5.6875,,,,,,,,,,,,,,,,,,,,,,,,
